english,portuguese
the,"o, a, os, as"
of,de
to,para
and,e
a,"um, uma"
in,"em, dentro"
is,é
it,este
you,você
that,"que, aquele"
he,ele
was,"era, estava"
for,"por, para"
on,em
are,"são, estão"
with,com
as,"como, enquanto"
I,eu
his,seu
they,eles
be,"ser, estar"
at,em
one,um
have,ter
this,este
from,de
or,ou
had,tinha
by,"por, em"
hot,quente
word,palavra
but,mas
what,o-que
some,algum
we,nós
can,"pode, lata"
out,fora
other,outro
were,"eram, esavam"
all,toda(o)
there,lá
when,quando
up,para-cima
use,usar
your,seu
how,"como, quão"
said,disse
an,"um, uma"
each,cada
she,ela
which,qual
do,"fazer, mesmo"
their,seus
time,"tempo, hora"
if,se
will,"vai, vontade"
way,"caminho, jeito"
about,"sobre, quase"
many,muitos
then,então
them,deles
write,escrever
would,deveria
like,"como, gostar"
so,"assim, tão"
these,estes
her,dela
long,longo
make,fazer
thing,coisa
see,ver
him,dele
two,"dois, duas"
has,tem
look,olhar
more,mais
day,dia
could,poderia
go,ir
come,vir
did,"fez, mesmo"
number,número
sound,som
no,não
most,"mais, maior"
people,"pessoas, povo"
my,meu
over,"sobre, acima-de"
know,saber
water,água
than,que
call,chamar
first,primeiro
who,quem
may,"maio, pode"
down,baixo
side,lado
been,"sido, estado"
now,agora
find,encontrar
any,qualquer
new,novo
work,trabalho
part,parte
take,pegar
get,obter
place,lugar
made,feito
live,"viver, vivo"
where,onde
after,após
back,"atrás, costas"
little,"pequeno, pouco"
only,somente
round,"redondo, rodada"
man,homem
year,ano
came,chegado
show,mostrar
every,cada
good,bom
me,"me, eu"
give,dar
our,nosso
under,sob
name,nome
very,"muito, absoluto"
through,através-de
just,"justo, só"
form,"forma, formulário"
sentence,sentença
great,"ótimo, excelente, grande"
think,pensar
say,dizer
help,ajudar
low,baixo
line,"linha, fila"
differ,diferir
turn,"tornar, vez"
cause,causa
much,muito
mean,"meio, significar"
before,antes
move,movimento
right,direito
boy,garoto
old,velho
too,também
same,mesmo
tell,contar
does,"faz, mesmo"
set,"conjunto, fixar"
three,três
want,querer
air,ar
well,"bem, poço"
also,também
play,"peça, tocar"
small,pequeno
end,"fim, finalizar"
put,por
home,casa
read,"ler, lido"
hand,mão
port,porto
large,grande
spell,"soletrar, encanto"
add,adicionar
even,mesmo
land,terra
here,aqui
must,dever
big,grande
high,alto
such,tal
follow,seguir
act,"ato, agir"
why,por que
ask,"pedir, perguntar"
men,homens
change,mudar
went,foi
light,"leve, luz"
kind,"bom, tipo"
off,"por, desligado"
need,precisar
house,casa
picture,"foto, filme"
try,tentar
us,nos
again,de novo
animal,animal
point,ponto
mother,mãe
world,mundo
near,perto
build,construir
self,"próprio, ego"
earth,terra
father,pai